Gene	trt1	trt2	trt3	ctl1	ctl2	ctl3
Zm00001eb000010	283	191	166	308	268	114
Zm00001eb000020	264	190	199	302	174	208
Zm00001eb000050	0	0	0	0	0	0
Zm00001eb000060	267	446	317	342	364	368
Zm00001eb000070	0	4	0	0	0	0
Zm00001eb000080	371	427	379	307	183	300
Zm00001eb000100	0	0	0	0	0	0
Zm00001eb000110	0	0	0	0	0	0
Zm00001eb000120	0	0	0	0	0	0
Zm00001eb000140	0	0	0	0	0	0
Zm00001eb000150	0	2	0	0	0	0
Zm00001eb000170	262	388	250	337	304	285
Zm00001eb000180	0	0	0	0	0	0
Zm00001eb000190	343	487	417	505	296	258
Zm00001eb000200	0	0	0	0	0	0
Zm00001eb000210	517	543	418	592	396	353
Zm00001eb000220	485	494	432	789	730	460
Zm00001eb000230	376	507	473	659	509	401
Zm00001eb000240	23	42	27	26	17	67
Zm00001eb000250	7	2	0	5	1	18
Zm00001eb000270	91	36	18	63	19	28
Zm00001eb000290	0	0	0	0	0	0
Zm00001eb000300	73	58	93	65	29	42
Zm00001eb000310	62	91	59	52	65	41
Zm00001eb000320	1590	1888	1394	1780	1384	1571
Zm00001eb000330	165	131	123	153	141	96
Zm00001eb000340	1698	1725	1689	1830	1137	1214
Zm00001eb000360	0	0	0	0	0	0
Zm00001eb000370	48	69	29	582	303	162
Zm00001eb000380	0	0	0	0	0	0
Zm00001eb000390	0	0	0	0	0	0
Zm00001eb000400	0	0	5	9	5	8
Zm00001eb000410	0	0	6	5	0	0
Zm00001eb000420	327	340	319	912	545	452
Zm00001eb000430	0	0	0	0	0	9
Zm00001eb000440	0	0	0	0	3	0
Zm00001eb000450	38	70	30	612	298	193
Zm00001eb000460	0	0	0	0	0	0
Zm00001eb000470	0	0	0	0	0	0
Zm00001eb000480	16659	18084	16189	22234	17283	18066
Zm00001eb000490	44	51	42	34	35	24
Zm00001eb000500	74	59	90	85	51	59
Zm00001eb000510	211	156	192	232	171	166
Zm00001eb000520	1109	1388	1260	1389	1120	1230
Zm00001eb000530	0	0	0	0	0	0
Zm00001eb000540	29	9	6	29	8	4
Zm00001eb000550	227	263	295	607	302	367
Zm00001eb000560	0	0	0	0	0	0
Zm00001eb000570	0	27	28	2	0	8
Zm00001eb000580	0	0	0	0	0	0
Zm00001eb000590	1510	1635	1298	2057	1354	1050
Zm00001eb000600	11	8	10	7	39	18
Zm00001eb000620	967	890	766	1304	787	629
Zm00001eb000630	0	0	0	0	0	0
Zm00001eb000640	114	190	115	141	144	144
Zm00001eb000650	87	78	68	69	82	119
Zm00001eb000660	0	0	0	0	0	0
Zm00001eb000670	415	540	377	496	265	378
Zm00001eb000680	182	160	162	126	170	129
Zm00001eb000690	289	289	255	231	197	195
Zm00001eb000700	716	821	742	846	584	676
Zm00001eb000710	176	300	193	256	203	172
Zm00001eb000720	144	136	157	201	158	186
Zm00001eb000740	31	77	37	74	37	57
Zm00001eb000750	111	155	179	164	126	171
Zm00001eb000760	0	35	8	28	40	33
Zm00001eb000770	3166	3766	2859	3883	3094	3135
Zm00001eb000780	1169	1102	1132	1447	1132	983
Zm00001eb000790	559	532	441	800	616	617
Zm00001eb000800	752	775	676	848	557	606
Zm00001eb000810	0	0	0	0	0	0
Zm00001eb000820	467	570	484	922	599	576
Zm00001eb000830	0	0	0	0	0	0
Zm00001eb000840	2	0	0	0	0	0
Zm00001eb000850	26	18	1	16	17	7
Zm00001eb000860	1278	1349	1318	2094	1302	1219
Zm00001eb000870	2684	2943	2790	3969	2881	2935
Zm00001eb000880	381	676	527	840	715	906
Zm00001eb000890	24	26	28	39	36	35
Zm00001eb000900	0	19	68	327	229	267
Zm00001eb000910	125	185	91	135	91	88
Zm00001eb000920	999	1159	1032	1374	941	893
Zm00001eb000930	126	167	86	162	124	109
Zm00001eb000940	0	0	0	0	0	0
Zm00001eb000960	52	78	44	42	83	22
Zm00001eb000970	683	845	749	898	693	817
Zm00001eb000980	525	761	713	581	639	663
Zm00001eb000990	12	57	78	44	45	73
Zm00001eb001000	2162	2582	2549	3142	2296	2341
Zm00001eb001010	180	166	185	222	158	242
Zm00001eb001020	7	19	3	36	11	25
Zm00001eb001030	0	0	0	0	4	0
Zm00001eb001040	503	706	648	862	651	635
Zm00001eb001050	84	109	123	92	78	86
Zm00001eb001060	85	72	77	227	127	103
Zm00001eb001070	438	545	406	475	347	335
Zm00001eb001090	0	0	0	0	0	0
Zm00001eb001100	0	0	0	0	0	1
Zm00001eb001110	792	1026	767	946	892	773
Zm00001eb001120	179	121	125	167	131	197
Zm00001eb001130	550	820	639	714	628	505
Zm00001eb001140	7	0	2	21	12	0
Zm00001eb001150	0	0	0	0	0	0
Zm00001eb001160	0	2	1	5	8	0
Zm00001eb001170	73	112	52	139	112	110
Zm00001eb001180	114	252	169	268	178	255
Zm00001eb001190	0	0	4	2	7	0
Zm00001eb001200	137	96	113	234	146	135
Zm00001eb001210	6	0	0	3	0	0
Zm00001eb001220	3	0	0	3	2	0
Zm00001eb001230	0	0	0	0	6	4
Zm00001eb001240	449	617	541	446	443	429
Zm00001eb001250	0	0	0	0	0	0
Zm00001eb001260	509	540	669	638	555	568
Zm00001eb001270	419	598	401	441	398	562
Zm00001eb001280	8	0	0	0	0	0
Zm00001eb001290	564	624	553	811	505	540
Zm00001eb001300	0	0	0	0	0	0
Zm00001eb001310	0	0	0	0	0	0
Zm00001eb001320	0	0	0	0	0	0
Zm00001eb001330	0	0	0	0	0	0
Zm00001eb001340	43	53	79	56	13	66
Zm00001eb001350	277	420	369	338	344	348
Zm00001eb001360	384	434	379	690	497	552
Zm00001eb001370	140	122	154	193	163	184
Zm00001eb001400	1700	2128	1441	1729	1377	1281
Zm00001eb001410	0	0	0	0	0	0
Zm00001eb001420	0	0	0	0	0	0
Zm00001eb001430	2097	2573	2356	3296	2166	1940
Zm00001eb001440	60	82	37	84	43	29
Zm00001eb001460	42	20	44	13	34	116
Zm00001eb001470	108	210	198	218	168	179
Zm00001eb001480	0	0	0	0	0	0
Zm00001eb001490	193	159	117	214	112	77
Zm00001eb001500	19	18	1	12	1	0
Zm00001eb001510	182	206	257	247	162	346
Zm00001eb001520	13	4	11	44	12	31
Zm00001eb001530	0	0	0	1	3	0
Zm00001eb001550	26	16	6	47	30	19
Zm00001eb001560	7	10	7	0	6	5
Zm00001eb001570	2170	2315	2051	2583	1825	1901
Zm00001eb001580	0	0	0	0	0	0
Zm00001eb001590	1692	1656	1712	1998	1596	1449
Zm00001eb001600	178	214	107	156	171	152
Zm00001eb001610	0	0	0	0	0	0
Zm00001eb001620	0	0	0	0	0	0
Zm00001eb001630	0	0	0	0	0	0
Zm00001eb001640	155	166	129	173	119	95
Zm00001eb001650	34	30	87	87	84	87
Zm00001eb001660	0	0	0	0	0	0
Zm00001eb001670	28	69	35	29	23	9
Zm00001eb001680	1432	1715	1465	2254	1691	1610
Zm00001eb001690	7	4	0	9	0	2
Zm00001eb001700	259	428	286	341	334	305
Zm00001eb001710	429	519	481	477	392	371
Zm00001eb001720	263	371	368	394	334	316
Zm00001eb001740	25	86	26	84	77	63
Zm00001eb001760	718	699	641	676	738	910
Zm00001eb001770	504	794	474	1131	809	441
Zm00001eb001780	352	216	116	582	399	215
Zm00001eb001790	0	10	0	5	0	5
Zm00001eb001800	81	92	47	68	108	38
Zm00001eb001810	762	901	936	989	841	995
Zm00001eb001820	9	8	6	18	14	12
Zm00001eb001830	0	7	0	2	12	11
Zm00001eb001840	92	75	68	142	136	71
Zm00001eb001860	387	638	653	500	378	598
Zm00001eb001870	475	616	555	737	528	547
Zm00001eb001880	503	405	617	888	648	753
Zm00001eb001890	162	148	132	219	185	131
Zm00001eb001900	427	632	860	500	386	622
Zm00001eb001910	265	296	276	298	270	300
Zm00001eb001920	1	0	0	0	0	0
Zm00001eb001940	1713	2155	2050	2175	1524	2105
Zm00001eb001950	90	77	76	35	11	23
Zm00001eb001960	0	0	0	0	7	0
Zm00001eb001970	0	0	0	0	0	0
Zm00001eb001980	65	98	38	102	44	134
Zm00001eb001990	0	0	0	0	0	0
Zm00001eb002000	429	518	575	650	397	502
Zm00001eb002010	7	32	39	83	71	155
Zm00001eb002020	47	45	31	31	64	30
Zm00001eb002030	53	53	61	97	82	71
Zm00001eb002040	754	865	917	809	672	717
Zm00001eb002050	0	0	0	0	0	12
Zm00001eb002060	5062	5363	4466	4394	3513	3407
Zm00001eb002070	101	70	96	131	99	64
Zm00001eb002080	0	17	6	2	5	2
Zm00001eb002090	3	35	14	28	36	24
Zm00001eb002100	116	131	89	132	80	70
Zm00001eb002140	0	0	0	0	0	0
Zm00001eb002150	0	0	0	0	0	0
Zm00001eb002170	150	180	177	163	126	110
Zm00001eb002180	2558	3028	3437	3292	2924	3413
Zm00001eb002190	4	22	19	56	35	23
Zm00001eb002200	28	16	8	2	7	30
Zm00001eb002210	0	0	0	0	0	0
Zm00001eb002220	1759	1938	1905	1894	1305	1417
Zm00001eb002240	8	17	0	25	19	11
Zm00001eb002250	13	19	36	56	8	28
Zm00001eb002260	1621	2021	2026	2091	1588	1659
Zm00001eb002270	168	303	241	740	356	400
Zm00001eb002280	0	0	0	0	0	0
Zm00001eb002290	0	0	0	0	0	0
Zm00001eb002300	0	0	0	0	0	0
Zm00001eb002310	0	0	0	0	0	0
Zm00001eb002320	1165	1321	1069	1438	1260	821
Zm00001eb002330	0	0	0	0	0	0
Zm00001eb002340	0	0	0	0	0	0
Zm00001eb002350	0	0	0	0	0	0
Zm00001eb002360	0	0	0	0	0	0
Zm00001eb002370	0	0	0	0	0	0
Zm00001eb002380	0	7	0	6	13	0
Zm00001eb002390	0	0	0	0	0	0
Zm00001eb002410	2	0	4	0	0	0
Zm00001eb002420	643	783	869	762	709	693
Zm00001eb002430	518	632	746	718	587	531
Zm00001eb002440	113	203	123	272	223	183
Zm00001eb002450	143	136	142	171	147	123
Zm00001eb002460	458	440	333	447	351	186
Zm00001eb002470	651	782	695	488	328	288
Zm00001eb002480	39	45	32	22	15	26
Zm00001eb002490	1683	1648	1068	1790	1404	730
Zm00001eb002510	1058	1130	1363	157	109	240
Zm00001eb002520	24	59	71	44	25	39
Zm00001eb002530	1985	2256	2667	2422	1776	2063
Zm00001eb002540	47	18	32	99	32	19
Zm00001eb002550	746	906	845	780	601	700
Zm00001eb002560	1050	874	831	1218	685	772
Zm00001eb002570	838	1124	846	1414	1126	880
Zm00001eb002590	651	516	474	4501	2693	1633
Zm00001eb002600	0	0	0	0	0	0
Zm00001eb002610	828	967	928	826	648	872
Zm00001eb002620	3	5	0	3	0	0
Zm00001eb002640	92	113	142	109	55	78
Zm00001eb002650	0	0	0	0	0	0
Zm00001eb002660	12	45	43	40	38	57
Zm00001eb002680	60	97	59	46	25	18
Zm00001eb002690	3910	4521	3751	5165	3897	3750
Zm00001eb002700	11	17	20	22	33	11
Zm00001eb002710	0	0	0	0	0	0
Zm00001eb002720	0	0	0	0	0	0
Zm00001eb002730	0	0	0	0	0	0
Zm00001eb002740	506	507	490	1026	594	468
Zm00001eb002750	0	0	0	0	0	0
Zm00001eb002760	6	0	0	2	5	0
Zm00001eb002770	0	0	0	0	0	0
Zm00001eb002780	0	0	0	0	0	0
Zm00001eb002790	0	0	0	0	0	0
